date,open,high,low,close,volume
2020-06-26,84.83,84.83,82.55,82.78,922654
2020-06-29,83.77,85.94,83.18,85.39,614065
2020-06-30,84.67,86.91,84.25,86.34,833883
2020-07-01,87.04,87.56,84.97,85.73,956251
2020-07-02,87.31,89.78,87.31,88.47,885239
2020-07-06,89.98,90.41,88.19,89.86,826059
2020-07-07,88.76,89.0,87.32,87.99,701026
2020-07-08,87.64,88.03,84.87,85.75,664853
2020-07-09,85.63,85.93,83.09,84.07,611752
2020-07-10,84.54,86.87,83.99,86.45,566159
2020-07-13,87.66,88.58,86.94,87.09,752589
2020-07-14,87.13,89.0,86.78,88.84,720236
2020-07-15,90.66,92.57,90.28,91.9,641406
2020-07-16,91.43,92.34,90.02,90.59,1197096
2020-07-17,90.99,91.95,89.47,89.53,657729
2020-07-20,91.63,95.47,91.13,91.79,1226396
2020-07-21,92.61,94.4,92.34,93.63,878470
2020-07-22,93.24,93.78,92.48,93.67,724698
2020-07-23,93.42,94.83,92.6352,94.15,794644
2020-07-24,93.5,93.8,92.11,92.43,846246
2020-07-27,92.88,95.21,92.32,95.2,981784
2020-07-28,94.48,95.53,92.44,93.23,1260603
2020-07-29,94.32,97.81,93.36,97.16,1760433
2020-07-30,97.7,97.91,95.68,97.59,1212400
2020-07-31,97.97,98.76,95.2,97.2,1061989
2020-08-03,97.14,97.52,95.15,96.48,1120175
2020-08-04,96.16,98.22,94.93,97.49,1145399
2020-08-05,98.39,100.59,98.38,99.24,1016229
2020-08-06,98.32,99.59,97.75,98.97,908275
2020-08-07,98.0,101.09,98.0,100.98,818540
2020-08-10,101.05,103.17,100.83,103.15,629290
2020-08-11,104.61,107.03,102.99,103.0,1050586
2020-08-12,104.18,104.4299,101.75,102.0,1022438
2020-08-13,101.13,102.29,100.68,101.04,531099
2020-08-14,100.13,102.25,100.05,101.48,444462
2020-08-17,102.14,102.8,99.18,100.76,455452
2020-08-18,100.87,101.38,100.23,100.32,510701
2020-08-19,100.34,101.51,99.67,100.26,379512
2020-08-20,99.08,100.42,98.61,99.96,549763
2020-08-21,99.55,100.29,98.83,99.81,574803
2020-08-24,100.68,103.19,100.32,103.06,592455
2020-08-25,103.27,104.45,101.57,102.17,682677
2020-08-26,102.02,103.53,101.241,102.79,543258
2020-08-27,103.35,103.59,101.86,102.97,473947
2020-08-28,103.23,104.13,102.12,103.94,357014
2020-08-31,103.73,103.73,101.07,101.15,927164
2020-09-01,100.66,105.19,100.024,105.17,917084
2020-09-02,105.3,106.44,104.58,106.17,1314890
2020-09-03,107.1,107.1,102.55,103.74,1041720
2020-09-04,104.98,106.3,103.99,106.18,1403808
2020-09-08,104.43,104.95,102.72,104.16,1118915
2020-09-09,104.72,107.11,104.72,106.44,693510
2020-09-10,106.58,107.13,105.05,105.1,612213
2020-09-11,105.92,107.33,105.16,106.58,551329
2020-09-14,107.42,109.87,107.1604,109.41,663901
2020-09-15,109.73,110.98,109.4,110.33,514301
2020-09-16,111.0,114.32,110.61,113.44,1097071
2020-09-17,112.26,115.03,111.21,114.22,1082864
2020-09-18,113.31,114.69,112.75,113.82,1289995
2020-09-21,110.92,111.48,108.36,109.54,908585
2020-09-22,110.13,110.87,108.14,109.16,603360
2020-09-23,108.87,109.55,105.9,106.05,845815
2020-09-24,106.0,107.23,104.1205,105.46,599254
2020-09-25,104.45,106.49,104.0973,106.14,478595
2020-09-28,108.04,109.94,107.58,108.6,718915
2020-09-29,108.49,109.22,106.48,106.88,476335
2020-09-30,107.61,109.3214,107.15,107.45,727599
2020-10-01,108.19,109.535,105.59,106.04,733726
2020-10-02,104.31,109.31,103.3,108.25,775245
2020-10-05,109.2,111.82,109.11,110.7,859647
2020-10-06,111.7,114.86,111.09,111.17,874592
2020-10-07,114.77,117.13,113.945,116.46,778609
2020-10-08,117.21,118.12,116.03,117.95,516848
2020-10-09,119.19,120.0,117.18,117.84,791337
2020-10-12,118.55,118.55,116.79,117.29,704040
2020-10-13,116.45,117.09,114.94,116.37,637969
